Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-09-11 01:00:00,0.0,1.52554,1.39487,-0.04987,0.07397,0.10657
2015-09-11 02:00:00,0.0,1.52411,1.39315,-0.05761,0.08037,0.1082
2015-09-11 03:00:00,0.0,1.52708,1.39429,-0.03931,0.05186,0.12024
2015-09-11 04:00:00,0.0,1.49986,1.39288,-0.07258,0.06223,0.11733
2015-09-11 05:00:00,0.0,1.52945,1.39394,-0.06475,0.0643,0.13596
2015-09-11 06:00:00,0.0,1.43966,1.38885,-0.07326,0.03458,0.0895
2015-09-11 07:00:00,0.07164,1.49257,1.39779,-0.08969,0.07482,0.18127
2015-09-11 08:00:00,0.79975,1.37701,1.4323,0.15464,0.1899,0.39991
2015-09-11 09:00:00,0.71833,1.50985,1.44479,0.24116,0.1767,0.36554
2015-09-11 10:00:00,1.27327,1.48014,1.47464,0.47477,0.27463,0.52936
2015-09-11 11:00:00,1.9801,1.45626,1.52169,0.81428,0.39922,0.70118
2015-09-11 12:00:00,1.80301,1.46105,1.52591,0.84347,0.34794,0.54675
2015-09-11 13:00:00,1.95583,1.4496,1.54152,0.96701,0.36502,0.53188
2015-09-11 14:00:00,2.15641,1.44444,1.55573,1.05879,0.40489,0.58143
2015-09-11 15:00:00,0.94901,1.50226,1.49061,0.6005,0.23595,0.1242
2015-09-11 16:00:00,0.94107,1.49149,1.48613,0.57793,0.23126,0.13725
2015-09-11 17:00:00,0.745,1.45263,1.47045,0.42608,0.1851,0.116
2015-09-11 18:00:00,0.32994,1.47349,1.44505,0.24341,0.1209,-0.00592
2015-09-11 19:00:00,0.0345,1.4443,1.41851,0.0619,0.07086,-0.07247
2015-09-11 20:00:00,0.0,1.43238,1.40822,0.00427,0.05454,-0.03465
2015-09-11 21:00:00,0.0,1.44379,1.40348,-0.01716,0.04908,0.0084
2015-09-11 22:00:00,0.0,1.39771,1.39416,-0.03193,0.03829,-0.00282
2015-09-11 23:00:00,0.0,1.39748,1.38922,-0.05027,0.03622,0.02232
2015-09-12 00:00:00,0.0,1.36728,1.38382,-0.04989,0.0181,0.01525
