Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-09-11 01:00:00,0.0,1.4448,1.39243,-0.20417,0.10991,0.14664
2015-09-11 02:00:00,0.0,1.36499,1.3857,-0.20038,0.09809,0.08158
2015-09-11 03:00:00,0.0,1.29446,1.3784,-0.20135,0.07828,0.03912
2015-09-11 04:00:00,0.0,1.28901,1.37398,-0.18866,0.07149,0.0322
2015-09-11 05:00:00,0.0,1.2942,1.37113,-0.17159,0.05978,0.03489
2015-09-11 06:00:00,0.0,1.49496,1.38269,-0.10427,0.07261,0.14394
2015-09-11 07:00:00,0.15497,1.43603,1.38867,-0.05722,0.08551,0.17404
2015-09-11 08:00:00,0.76691,1.32314,1.42273,0.13966,0.15577,0.3719
2015-09-11 09:00:00,1.46507,1.27419,1.4698,0.42168,0.26655,0.58124
2015-09-11 10:00:00,1.92349,1.34608,1.51644,0.69712,0.3336,0.72241
2015-09-11 11:00:00,2.34021,1.31984,1.55441,0.9402,0.39611,0.76932
2015-09-11 12:00:00,2.49091,1.33405,1.58017,1.07944,0.42784,0.73752
2015-09-11 13:00:00,2.68938,1.30741,1.59688,1.23542,0.47022,0.69427
2015-09-11 14:00:00,2.58313,1.27778,1.59672,1.24557,0.45227,0.56634
2015-09-11 15:00:00,2.25794,1.26375,1.57974,1.12512,0.41484,0.40199
2015-09-11 16:00:00,1.77209,1.2502,1.55186,0.87021,0.36036,0.23985
2015-09-11 17:00:00,1.16249,1.26327,1.51371,0.56967,0.28109,0.0613
2015-09-11 18:00:00,0.50622,1.2759,1.4693,0.26629,0.15993,-0.1134
2015-09-11 19:00:00,0.03619,1.27722,1.42669,0.05094,0.06483,-0.22905
2015-09-11 20:00:00,0.0,1.27723,1.40863,-0.00324,0.03722,-0.16538
2015-09-11 21:00:00,0.0,1.27648,1.39345,-0.01111,0.01916,-0.12501
2015-09-11 22:00:00,0.0,1.28191,1.38364,-0.01446,0.01171,-0.09898
2015-09-11 23:00:00,0.0,1.27382,1.37757,-0.03106,0.01849,-0.09117
2015-09-12 00:00:00,0.0,1.2868,1.36628,-0.01532,0.00668,-0.07084
