Time,Temperature [°C],Mixing Ratio [kg/kg],Vapor Pressure [hPa],Wind Speed [m/s],Wind Direction [°],u [m/s],v [m/s],Surface Pressure [hPa],Sea Level Pressure [hPa],Skin Temperature [°C],Top Soil Layer Temperature [°C],Rainfall [mm],Cloud Water [kg/m^2]
2015-08-11 00:10:00,26.41415,0.01352,21.44351,0.94013,258.46787,0.92115,0.18795,1008.1996094,1008.6023099,24.86248,25.69598,0.0,0.01273
2015-08-11 00:20:00,26.35333,0.01343,21.30412,0.98306,244.08788,0.88423,0.42959,1008.2159375,1008.6187483,24.74615,25.63928,0.0,0.00892
2015-08-11 00:30:00,26.25588,0.01347,21.36624,1.24314,233.94069,1.00497,0.73174,1008.2164062,1008.6193386,24.51586,25.57763,0.0,0.00399
2015-08-11 00:40:00,26.1737,0.01353,21.45914,1.28889,207.1326,0.5878,1.14706,1008.2048438,1008.6078676,24.31103,25.51138,0.0,0.0013
2015-08-11 00:50:00,26.09234,0.01356,21.50387,1.27669,193.96608,0.30813,1.23895,1008.1188281,1008.5219197,24.13134,25.44131,0.0,0.00033
2015-08-11 01:00:00,26.03265,0.01363,21.61122,1.17488,189.35675,0.19101,1.15925,1008.0592188,1008.46235,24.03076,25.37118,0.0,0.00017
2015-08-11 01:10:00,25.99758,0.01368,21.68884,1.14462,181.48469,0.02966,1.14423,1008.0617188,1008.464886,23.93945,25.30245,0.0,0.00015
2015-08-11 01:20:00,25.9811,0.01369,21.70426,1.05672,186.59043,0.12128,1.04973,1008.0575,1008.4606853,23.85372,25.23647,0.0,0.00011
2015-08-11 01:30:00,25.85464,0.01366,21.65761,1.06066,209.64101,0.52456,0.92186,1008.0523438,1008.4557049,23.79437,25.1708,0.0,0.00012
2015-08-11 01:40:00,25.75009,0.01358,21.53237,1.21203,225.86762,0.86991,0.84396,1008.0001562,1008.4036571,23.71685,25.10891,0.0,0.00012
2015-08-11 01:50:00,25.7077,0.01347,21.35971,1.0855,214.85764,0.6204,0.89073,1007.9088281,1008.3123766,23.62234,25.04702,0.0,0.00012
2015-08-11 02:00:00,25.63885,0.0134,21.25022,0.92286,190.04982,0.16104,0.9087,1007.8696094,1008.2732523,23.53958,24.98516,0.0,5e-05
2015-08-11 02:10:00,25.48092,0.0134,21.24973,1.01263,164.13664,-0.2768,0.97407,1007.8465625,1008.2504096,23.49862,24.92703,0.0,4e-05
2015-08-11 02:20:00,25.23519,0.01359,21.54404,1.40439,138.95407,-0.92221,1.05917,1007.8210156,1008.2251387,23.50326,24.8699,0.0,6e-05
2015-08-11 02:30:00,25.11785,0.01389,22.00952,1.6432,134.58191,-1.17036,1.15341,1007.8338281,1008.238042,23.42419,24.81628,0.0,7e-05
2015-08-11 02:40:00,25.16329,0.01399,22.1638,1.41323,138.68456,-0.93302,1.06146,1007.8023438,1008.206459,23.31799,24.76263,0.0,5e-05
2015-08-11 02:50:00,25.22866,0.01393,22.07048,1.08851,150.57745,-0.53473,0.94812,1007.7864844,1008.1905193,23.23397,24.70895,0.0,2e-05
2015-08-11 03:00:00,25.29073,0.01381,21.88533,0.90811,172.45147,-0.11929,0.90024,1007.8254688,1008.2294647,23.17419,24.6553,0.0,1e-05
2015-08-11 03:10:00,25.38409,0.01379,21.85397,0.85684,186.84071,0.10206,0.85074,1007.8091406,1008.2130084,23.11843,24.60574,0.0,1e-05
2015-08-11 03:20:00,25.39092,0.01386,21.96131,0.84161,200.31596,0.2922,0.78926,1007.7551562,1008.158976,23.06286,24.55618,0.0,0.0
2015-08-11 03:30:00,25.39184,0.01396,22.11553,0.85088,201.94912,0.31805,0.78921,1007.7207031,1008.1244835,22.99737,24.50665,0.0,0.0
2015-08-11 03:40:00,25.35143,0.01402,22.20785,0.81695,187.71822,0.10972,0.80955,1007.6921094,1008.0959183,22.92608,24.45712,0.0,0.0
2015-08-11 03:50:00,25.30236,0.01404,22.23982,0.78251,156.03864,-0.31779,0.71507,1007.7367188,1008.1406071,22.85922,24.40756,0.0,0.0
2015-08-11 04:00:00,25.07061,0.01404,22.24138,0.90013,124.04172,-0.74588,0.50389,1007.8077344,1008.2119651,22.8247,24.36111,0.0,0.0
2015-08-11 04:10:00,24.91213,0.01397,22.13515,1.32129,104.82366,-1.27732,0.33805,1007.9089844,1008.3134879,22.78518,24.3146,0.0,1e-05
2015-08-11 04:20:00,24.67153,0.01377,21.82774,1.59763,99.76561,-1.57448,0.27099,1008.0305469,1008.4354751,22.75234,24.26815,0.0,0.00068
2015-08-11 04:30:00,24.5852,0.01355,21.489,1.57226,103.47408,-1.52898,0.36634,1008.1507812,1008.555929,22.63531,24.22167,0.0,0.00063
2015-08-11 04:40:00,24.48657,0.01355,21.49061,1.40469,116.65693,-1.25539,0.63021,1008.2261719,1008.6314843,22.56655,24.1752,0.0,0.00012
2015-08-11 04:50:00,24.4558,0.01374,21.78695,1.48232,136.1804,-1.02635,1.06953,1008.2958594,1008.7011952,22.54849,24.12872,0.0,0.0
2015-08-11 05:00:00,24.52258,0.01381,21.90066,1.49708,149.10072,-0.7688,1.2846,1008.5321094,1008.937432,22.52337,24.08636,0.0,0.0
2015-08-11 05:10:00,24.54,0.01359,21.56452,1.3887,147.16464,-0.75299,1.16683,1008.779375,1009.1848272,22.48437,24.04397,0.0,1e-05
2015-08-11 05:20:00,24.49221,0.01331,21.13209,1.31139,141.11405,-0.82326,1.02078,1008.9019531,1009.3075884,22.47192,24.00332,0.0,0.00019
2015-08-11 05:30:00,24.42516,0.01323,21.00951,1.51769,141.67719,-0.94111,1.19068,1008.9876562,1009.3934371,22.47204,23.96536,0.0,0.00032
2015-08-11 05:40:00,24.45263,0.01327,21.07331,1.54888,150.01713,-0.77404,1.3416,1009.0648438,1009.4706084,22.45446,23.92953,0.0,0.00023
2015-08-11 05:50:00,24.48019,0.01328,21.0896,1.6566,158.70454,-0.60164,1.54348,1009.1000781,1009.5058168,22.74673,23.90093,0.0,0.00077
2015-08-11 06:00:00,24.58917,0.01331,21.13669,1.76717,160.973,-0.57612,1.67062,1009.1214062,1009.5269976,23.29092,23.89538,0.0,0.00162
2015-08-11 06:10:00,24.72662,0.0134,21.27765,1.73681,158.86378,-0.62627,1.61997,1009.17125,1009.5766521,23.83575,23.91741,0.0,0.00096
2015-08-11 06:20:00,24.95208,0.01345,21.35457,1.70556,156.73596,-0.67364,1.56689,1009.1332812,1009.5383492,24.37051,23.96584,0.0,0.00032
2015-08-11 06:30:00,25.17187,0.01345,21.35349,1.85549,150.73918,-0.90694,1.61873,1009.0822656,1009.4870146,24.86675,24.04202,0.0,0.0001
2015-08-11 06:40:00,25.37722,0.01343,21.32119,1.79847,142.17087,-1.10302,1.42051,1009.0242188,1009.428671,25.35964,24.14178,0.0,1e-05
2015-08-11 06:50:00,25.64868,0.01342,21.30472,1.6851,132.69865,-1.23843,1.14274,1008.9801562,1009.3842256,25.89785,24.26559,0.0,0.0
2015-08-11 07:00:00,26.01916,0.0134,21.27344,1.68021,133.08606,-1.2271,1.14774,1008.9703906,1009.3739605,26.49581,24.41332,0.0,0.0
2015-08-11 07:10:00,26.42385,0.01327,21.07151,1.75078,133.54292,-1.26907,1.20611,1008.9769531,1009.3800121,27.10018,24.58596,0.0,0.0
2015-08-11 07:20:00,26.8424,0.01311,20.82273,2.10062,134.6407,-1.49465,1.47602,1008.9785938,1009.3811299,27.70156,24.78091,0.0,0.0
2015-08-11 07:30:00,27.20916,0.01316,20.90095,2.2124,135.03802,-1.56336,1.56544,1009.0002344,1009.4022753,28.33703,24.99691,0.0,0.0
2015-08-11 07:40:00,27.54843,0.01332,21.15072,2.11848,134.17811,-1.51932,1.47635,1009.0465625,1009.4481293,28.99575,25.23181,0.0,0.0
2015-08-11 07:50:00,27.86022,0.01355,21.50809,2.14626,132.88808,-1.57253,1.46068,1009.0439062,1009.4450001,29.59094,25.48297,0.0,0.0
2015-08-11 08:00:00,28.1318,0.01394,22.1119,2.33944,129.56866,-1.80338,1.49023,1008.9671875,1009.3677947,30.16598,25.74661,0.0,1e-05
2015-08-11 08:10:00,28.35955,0.01445,22.9015,2.57664,129.48857,-1.98853,1.63855,1008.9227344,1009.3228978,30.73425,26.0191,0.0,3e-05
2015-08-11 08:20:00,28.60269,0.01487,23.55085,2.60202,132.24129,-1.92633,1.74922,1008.8899219,1009.2896483,31.36389,26.30038,0.0,8e-05
2015-08-11 08:30:00,28.8446,0.01508,23.87489,2.37579,133.75112,-1.71616,1.64293,1008.8608594,1009.2602033,31.98638,26.59353,0.0,4e-05
2015-08-11 08:40:00,29.09567,0.01509,23.88949,2.17408,131.71557,-1.62286,1.44671,1008.8245312,1009.2235265,32.56475,26.89553,0.0,1e-05
2015-08-11 08:50:00,29.39663,0.01495,23.67105,2.13571,127.41731,-1.69625,1.29769,1008.7389844,1009.1375827,33.12652,27.20443,0.0,5e-05
2015-08-11 09:00:00,29.77471,0.01472,23.31413,2.32408,126.30753,-1.87286,1.37613,1008.6882031,1009.0863391,33.78362,27.52142,0.0,0.00374
2015-08-11 09:10:00,30.1361,0.01442,22.84787,2.34038,124.59522,-1.92656,1.32881,1008.6051562,1009.0028571,34.48593,27.85244,0.0,0.02305
2015-08-11 09:20:00,30.51611,0.01416,22.44428,2.3415,125.17827,-1.91386,1.34899,1008.5690625,1008.9663139,34.9891,28.1932,0.0,0.00264
2015-08-11 09:30:00,30.8565,0.01404,22.25826,2.36689,125.08974,-1.93671,1.36062,1008.5682031,1008.9650381,35.52386,28.52899,0.0,0.00326
2015-08-11 09:40:00,31.23055,0.01374,21.79258,2.34717,123.92739,-1.94755,1.31005,1008.5514062,1008.9478187,36.23498,28.87466,0.0,0.04359
2015-08-11 09:50:00,31.56304,0.01352,21.45026,2.26136,126.43336,-1.81937,1.34299,1008.5132812,1008.9092988,36.79904,29.22891,0.0,0.0146
2015-08-11 10:00:00,31.80398,0.01366,21.66658,2.23288,129.83077,-1.71472,1.43021,1008.4652344,1008.8608867,37.36129,29.57778,0.0,0.0536
2015-08-11 10:10:00,32.03381,0.01378,21.85197,2.25839,132.29895,-1.6704,1.51989,1008.4271094,1008.82242,37.96679,29.93618,0.0,0.65447
2015-08-11 10:20:00,32.29699,0.01377,21.83475,2.09122,134.93322,-1.48044,1.47699,1008.3485156,1008.7434572,38.49676,30.29183,0.0,0.67317
2015-08-11 10:30:00,32.57968,0.01372,21.75361,2.0188,140.44004,-1.28575,1.55641,1008.1828906,1008.577414,38.91061,30.64269,0.0,0.03396
2015-08-11 10:40:00,32.8103,0.01372,21.75135,2.11921,145.99337,-1.18525,1.75677,1008.0780469,1008.4722319,39.30078,30.9808,0.0,0.01152
2015-08-11 10:50:00,33.0176,0.01359,21.54787,1.9507,147.07878,-1.06017,1.63745,1007.9941406,1008.3880568,39.8099,31.31967,0.0,0.02553
2015-08-11 11:00:00,33.17953,0.01354,21.46926,1.2167,140.58822,-0.77247,0.94003,1007.9461719,1008.339873,40.20931,31.65151,0.0,0.00461
