Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-09-11 01:00:00,0.0,1.33557,1.36851,0.02764,0.01461,-0.07519
2015-09-11 02:00:00,0.0,1.36337,1.36469,0.02637,0.01196,-0.03965
2015-09-11 03:00:00,0.0,1.40996,1.36553,0.02503,0.0096,0.0098
2015-09-11 04:00:00,0.0,1.41079,1.36557,0.00482,0.01216,0.02825
2015-09-11 05:00:00,0.0,1.38702,1.36363,-0.01369,0.00976,0.02732
2015-09-11 06:00:00,0.0,1.43566,1.36543,9e-05,0.01403,0.05611
2015-09-11 07:00:00,0.03781,1.46862,1.36683,0.04216,0.01361,0.08383
2015-09-11 08:00:00,0.71412,1.39153,1.41069,0.21042,0.04013,0.44441
2015-09-11 09:00:00,1.27947,1.38254,1.45648,0.47597,0.06597,0.66358
2015-09-11 10:00:00,2.03005,1.34832,1.51481,0.87482,0.10266,0.88609
2015-09-11 11:00:00,2.33089,1.37536,1.55505,1.13286,0.11908,0.89926
2015-09-11 12:00:00,2.73797,1.32973,1.59176,1.41877,0.13891,0.91827
2015-09-11 13:00:00,2.78609,1.34716,1.61248,1.53844,0.14249,0.83984
2015-09-11 14:00:00,2.64795,1.33915,1.61143,1.58461,0.13832,0.65273
2015-09-11 15:00:00,2.21335,1.36083,1.59488,1.40599,0.12043,0.45288
2015-09-11 16:00:00,1.60552,1.36938,1.55669,1.14128,0.09516,0.18178
2015-09-11 17:00:00,1.03497,1.3871,1.51548,0.84236,0.07192,-0.00769
2015-09-11 18:00:00,0.5196,1.30475,1.47038,0.49988,0.04872,-0.19464
2015-09-11 19:00:00,0.03669,1.37063,1.42803,0.23855,0.02685,-0.28612
2015-09-11 20:00:00,0.0,1.32308,1.40763,0.12707,0.02132,-0.23294
2015-09-11 21:00:00,0.0,1.29167,1.39288,0.06588,0.01545,-0.18254
2015-09-11 22:00:00,0.0,1.28267,1.38267,0.02982,0.01065,-0.14048
2015-09-11 23:00:00,0.0,1.27525,1.37273,0.02573,0.00642,-0.12962
2015-09-12 00:00:00,0.0,1.30806,1.36766,0.0235,0.00657,-0.08967
