Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-09-11 01:00:00,0.0,1.47826,1.36442,0.08828,0.01724,0.00832
2015-09-11 02:00:00,0.0,1.40968,1.36141,0.04667,0.01512,-0.01352
2015-09-11 03:00:00,0.0,1.42493,1.35867,0.05649,0.01656,-0.00679
2015-09-11 04:00:00,0.0,1.37606,1.3537,0.03191,0.0144,-0.02395
2015-09-11 05:00:00,0.0,1.32669,1.349,0.01535,0.01108,-0.04873
2015-09-11 06:00:00,0.0,1.33046,1.34722,0.0007,0.01003,-0.02749
2015-09-11 07:00:00,0.12068,1.44233,1.36117,0.0522,0.01359,0.13604
2015-09-11 08:00:00,0.4671,1.42245,1.38445,0.17524,0.02293,0.30692
2015-09-11 09:00:00,0.69855,1.46741,1.41574,0.29307,0.03762,0.41954
2015-09-11 10:00:00,0.99069,1.48864,1.44204,0.45378,0.04858,0.53493
2015-09-11 11:00:00,2.17961,1.40277,1.5222,0.99538,0.08217,0.98264
2015-09-11 12:00:00,2.75662,1.30717,1.57152,1.39527,0.10319,0.9938
2015-09-11 13:00:00,2.67652,1.34483,1.58917,1.5144,0.1037,0.81409
2015-09-11 14:00:00,1.90117,1.41824,1.55411,1.28614,0.08385,0.39531
2015-09-11 15:00:00,1.57167,1.42809,1.53562,1.10916,0.07193,0.28305
2015-09-11 16:00:00,1.54297,1.38885,1.5363,0.98761,0.07179,0.33612
2015-09-11 17:00:00,1.07138,1.34695,1.50612,0.74745,0.05606,0.10869
2015-09-11 18:00:00,0.52113,1.29375,1.4628,0.44476,0.03672,-0.1294
2015-09-11 19:00:00,0.03655,1.40302,1.41943,0.2615,0.01985,-0.26122
2015-09-11 20:00:00,0.0,1.39702,1.40241,0.16649,0.01284,-0.18472
2015-09-11 21:00:00,0.0,1.28482,1.38524,0.07386,0.01005,-0.18434
2015-09-11 22:00:00,0.0,1.28071,1.37304,0.05974,0.00793,-0.16
2015-09-11 23:00:00,0.0,1.26149,1.36368,0.03349,0.00564,-0.14132
2015-09-12 00:00:00,0.0,1.34785,1.36142,0.05264,0.007,-0.07321
