Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-08-15 01:00:00,0.0,1.33863,1.41786,0.02119,0.01237,-0.11279
2015-08-15 02:00:00,0.0,1.33305,1.40778,0.04369,0.01626,-0.13468
2015-08-15 03:00:00,0.0,1.33074,1.39737,0.07427,0.01488,-0.15578
2015-08-15 04:00:00,0.0,1.34374,1.38976,0.08672,0.01245,-0.14518
2015-08-15 05:00:00,0.0,1.37851,1.38692,0.0802,0.01104,-0.09964
2015-08-15 06:00:00,0.00921,1.35309,1.38417,0.05455,0.00953,-0.08595
2015-08-15 07:00:00,0.37966,1.33003,1.40755,0.13384,0.01604,0.15225
2015-08-15 08:00:00,0.79003,1.43359,1.45898,0.24142,0.02707,0.49615
2015-08-15 09:00:00,1.48254,1.43785,1.52861,0.48063,0.04497,0.86617
2015-08-15 10:00:00,2.25249,1.38754,1.59703,0.93214,0.07004,1.04082
2015-08-15 11:00:00,2.69452,1.3748,1.65211,1.24888,0.08197,1.08636
2015-08-15 12:00:00,2.96439,1.36816,1.68893,1.52888,0.08915,1.02561
2015-08-15 13:00:00,3.04576,1.35759,1.71441,1.6491,0.09354,0.94629
2015-08-15 14:00:00,2.92826,1.35416,1.72359,1.65645,0.08985,0.81252
2015-08-15 15:00:00,2.62588,1.34498,1.71389,1.55008,0.08164,0.62525
2015-08-15 16:00:00,2.15832,1.33945,1.68803,1.32997,0.0685,0.41126
2015-08-15 17:00:00,1.56457,1.32995,1.64518,1.0368,0.05298,0.15956
2015-08-15 18:00:00,0.895,1.33427,1.59081,0.69327,0.03583,-0.09064
2015-08-15 19:00:00,0.2482,1.33845,1.52908,0.36157,0.0212,-0.32521
2015-08-15 20:00:00,0.0,1.35439,1.48891,0.18499,0.01179,-0.3313
2015-08-15 21:00:00,0.0,1.34926,1.46754,0.12465,0.01013,-0.25306
2015-08-15 22:00:00,0.0,1.34199,1.45158,0.07743,0.00868,-0.1957
2015-08-15 23:00:00,0.0,1.34205,1.44132,0.03801,0.0067,-0.14397
2015-08-16 00:00:00,0.0,1.33658,1.42991,0.03957,0.00606,-0.13896
