,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_average,Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,1006.0439783090278,1006.0714934548616,1005.4554107854167,1006.1945345888894,1006.0695148993059,1006.0269628319446,1005.9157376319448,1005.9933153659725,1005.9713684834203,1005.5764327854168,1005.9287362472226,1005.8118563868057,1005.8494861951388,1005.7264369999998,1005.7667940756946,1005.8464703923606,1005.8869082423613,1005.7991401656254,1005.9785147694446,1005.9480690347225,1006.1781153652778,1006.265228860417,1006.3606099694448,1006.0288928194446,1006.1430847229169,1006.2334488250003,1006.141995545833,1006.2083333333335
std,0.3722301903515893,0.4345941583332282,0.4592529348890573,0.4907103127117177,0.5148117857310274,0.5033628498823933,0.5377504930981043,0.502271480028836,0.45367041988119,0.5670138539078,0.45254380564937086,0.42919318754239066,0.48636300377274094,0.4424128387457434,0.472484243397025,0.46650471671860866,0.46654936017707455,0.45852438767337345,0.3546101289756795,0.46572680334042293,0.5043369373321595,0.466106543999998,0.45416056542765637,0.42432143968247055,0.4468533160902657,0.4280110271716777,0.4315342594996232,0.4235268586524423
min,1005.4336464,1005.3622481,1004.6224163,1005.264896,1005.0992145,1005.2054933,1005.0118051,1005.1543846,1005.2445478500001,1004.6632504,1005.008562,1005.0251471,1005.031314,1004.7995393,1004.8462764,1005.00583,1004.9772156,1005.0141351499999,1005.3764362,1005.2697092,1005.3892032,1005.3528943,1005.5597788,1005.1722301,1005.3769925,1005.5075303,1005.4595119125001,1005.3
25%,1005.749860475,1005.6861918750001,1005.11880595,1005.834373875,1005.67966645,1005.595311475,1005.5266238,1005.6534639,1005.5653198875,1005.221049175,1005.629127,1005.44470695,1005.4669949500001,1005.350576025,1005.42258125,1005.468383075,1005.4747102499999,1005.45772759375,1005.673474025,1005.51259985,1005.6909558,1005.91357455,1006.0063675,1005.7039218750001,1005.7864639,1005.8940429,1005.7573903593749,1005.9
50%,1005.95320345,1005.9508392,1005.4112055,1006.1969748,1006.05448915,1006.0608274,1005.8995177500001,1005.9937846,1005.9220541375,1005.4932609499999,1005.8651234,1005.8441046,1005.8306013,1005.75040405,1005.76549255,1005.7831459500001,1005.84376445,1005.7589244437501,1005.91557645,1005.9218599000001,1006.1307727999999,1006.2527338,1006.23342045,1005.9899605,1006.0846818499999,1006.17053905,1006.07144233125,1006.3
75%,1006.41417215,1006.4717615,1005.739400425,1006.5502855249999,1006.373171675,1006.351902725,1006.263805475,1006.337731875,1006.334811628125,1005.89610895,1006.19635755,1006.1133295,1006.1504585749999,1006.05598105,1006.0868304749999,1006.16726075,1006.2498186,1006.0834018343751,1006.321686175,1006.44145685,1006.6835942749999,1006.69975505,1006.832010625,1006.426436075,1006.5890545249999,1006.64438015,1006.592691803125,1006.6
max,1006.6756191,1006.9952457,1006.6578168,1007.1535267,1007.1690153,1007.1475628,1007.0616927,1007.0525202,1006.973631425,1006.7559188,1006.8124426,1006.6123232,1006.7996794,1006.5742663,1006.656584,1006.6914022,1006.7205215,1006.683971225,1006.6453727,1006.7052087,1007.0088278,1007.0061913,1007.0906923,1006.7351105,1006.853018,1007.0448109,1006.821694325,1007.0
std_ratio,0.8788821363913819,1.0261312817704156,1.0843537440583735,1.1586285561039424,1.2155351548872984,1.1885027822886356,1.2696963182195655,1.1859259212672832,1.0711727263877835,1.3387907810897706,1.0685126489716694,1.0133789127517845,1.1483640147881713,1.0445921662521986,1.1155945219161614,1.101476109928214,1.1015815187294598,1.0826335527628275,0.8372789629067711,1.099639358935229,1.1908027248539441,1.1005359742308523,1.0723300214599918,1.0018761054081822,1.055076689851601,1.0105876839393444,1.0189064770830791,1.0
correlation,0.7960082366760145,0.7803511649879088,0.6691820425811088,0.7143199118454946,0.6922158655534154,0.7057331779886671,0.7254052814591023,0.7150539238392769,0.7588441930748281,0.7169704382096825,0.8382258391806863,0.8653011707085296,0.8411752298959699,0.8546014069416954,0.8550606358433792,0.8641162979118016,0.8737365512849159,0.861243402860965,0.7221785712284328,0.7901246458602703,0.7721137606018739,0.7689913601608585,0.7967107826865273,0.7782835725242874,0.7987358854739269,0.7848037352567352,0.7985492614962012,1.0
bias,-0.16435502430567794,-0.13683987847184653,-0.7529225479167962,-0.01379874444410234,-0.13881843402759841,-0.18137050138886934,-0.2925957013886773,-0.21501796736095002,-0.23696484991319267,-0.6319005479166435,-0.2795970861109254,-0.39647694652774135,-0.3588471381947329,-0.48189633333367965,-0.44153925763885127,-0.36186294097285554,-0.3214250909721841,-0.4091931677080538,-0.2298185638888981,-0.2602642986109913,-0.030217968055694655,0.056895527083497655,0.15227663611130993,-0.17944051388883508,-0.06524861041657459,0.025115491666838352,-0.06633778750051533,0.0
rmse,0.3065327296222801,0.31576221497585727,0.8347819114796405,0.35135343225750837,0.4022684666815958,0.40587827030933427,0.4730096757852595,0.4167301442769734,0.3869536190833502,0.745535663849181,0.37553858252357036,0.4540878696498203,0.44514219991213455,0.5357877441678832,0.5053328669750529,0.43184134596736684,0.39378087341360574,0.47175864012741064,0.3755214694021555,0.39027329965171303,0.32372288257955706,0.31025204853256516,0.31989315959840076,0.33449891570275914,0.2845729005012132,0.2804816258529234,0.27946672898537583,0.0
