,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_average,Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,26.240133750000016,26.32541305555555,26.37966958333332,26.707383680555562,26.021285625000004,26.079371527777777,26.28645826388886,26.19918368055555,26.279862395833334,26.907853819444433,26.927255833333337,26.93072826388889,26.56702756944445,26.696904861111104,26.747889375,26.588441805555544,26.58977159722223,26.744484140624998,26.049366388888885,25.89578291666667,26.25382576388888,25.941762222222213,25.62213499999999,25.777529722222223,25.939849236111115,25.833824236111127,25.914259435763878,27.619444444444444
std,2.18990307964438,2.50217792756194,2.0159888638474097,1.723429244425577,2.048442857153506,1.8154283296099685,2.1325730875713953,2.0998748846236666,2.0373406350706604,2.0940826168990108,2.2885510999503658,1.6603790133829095,1.7401316326599188,1.9887683502777909,1.7830451986875724,1.9772571830483217,2.183834366169927,1.9487137751670711,2.469510823618215,2.1102814853575538,2.0004220374011696,1.8638602814255198,1.9004109336243273,1.8228622128659004,1.761519777643915,1.8141660486155657,1.948259003149092,2.507994932261011
min,22.48297,22.13598,22.79211,23.84991,22.84985,23.11541,22.84966,22.77236,22.97557875,23.17324,23.0552,24.02026,23.38693,23.1603,23.6896,22.84191,22.59771,23.29143625,21.67141,22.44293,23.31545,23.08666,22.59051,22.69576,23.02514,22.89391,22.82964125,23.8
25%,24.1896,23.97305,24.6446525,24.9021125,23.7065675,24.1057775,23.96038,23.87556,24.207967187500003,24.645832499999997,24.703357500000003,25.598515,24.96949,24.826394999999998,24.919185,24.594672499999998,24.2275875,24.83838,23.346449999999997,23.4926825,24.276664999999998,24.14086,23.8519975,24.0308675,24.22647,23.971685,23.982843124999995,25.2
50%,26.351979999999998,26.4824,26.39051,26.89042,26.271340000000002,26.33137,26.53013,26.314155,26.428574375,27.405635,27.166359999999997,26.91465,26.645364999999998,26.968130000000002,26.635125000000002,26.843835,27.068385,26.942471875000003,26.391795000000002,26.24917,25.99114,26.030144999999997,25.72256,25.96069,25.946455,25.838009999999997,26.01891,27.8
75%,28.24212,28.65406,28.366275,28.112724999999998,27.9710225,27.529652499999997,28.337835,27.93439,28.256026249999998,28.850994999999998,29.2424525,28.568965,28.32128,28.7357375,28.508697499999997,28.5275625,28.58142,28.615356562499997,28.2764375,27.8795925,28.3472275,27.868185,27.45901,27.5951525,27.7614775,27.74132,27.884369687499998,29.924999999999997
max,29.36285,29.85806,29.32791,29.35693,29.13964,29.06091,29.38348,29.45217,29.158228750000003,29.69177,30.11828,29.33132,28.95794,29.26397,29.2698,29.32684,29.45889,29.330121249999998,29.36682,28.61831,29.21096,28.51672,28.30227,28.22482,28.26977,28.20889,28.544126249999998,32.0
std_ratio,0.8731688614977127,0.9976806154493194,0.8038249351763852,0.6871741335106561,0.8167651500423053,0.7238564585030166,0.8503099667944046,0.837272379466327,0.8123384177790002,0.8349628581630149,0.9125022824058053,0.6620344371613391,0.6938337913989135,0.7929714389354342,0.710944498233144,0.788381650064094,0.8707491143936058,0.777000682936095,0.9846554280681493,0.8414217501847541,0.7976180540355983,0.743167483095833,0.7577411378224223,0.7268205327761772,0.7023617771252302,0.7233531556541289,0.7768193540138835,1.0
correlation,0.9659475475225315,0.9739263561889804,0.9369876102969439,0.9502856918390947,0.972889525670134,0.9465704675948119,0.9772384560338185,0.9796003789527703,0.9774620596628721,0.9656796949617419,0.9655045614715879,0.9206596741376536,0.9322581049414593,0.9570943600470234,0.9650650791919648,0.9706101438570779,0.9709554786892864,0.9651533391449274,0.969514618645002,0.9584441875881579,0.8979257350652586,0.9437658495824611,0.9476020054915993,0.928270575018039,0.9022051938127611,0.9334818037711221,0.9462151726892615,1.0
bias,-1.3793106944444276,-1.294031388888893,-1.2397748611111226,-0.9120607638888814,-1.5981588194444392,-1.5400729166666665,-1.332986180555583,-1.4202607638888942,-1.3395820486111099,-0.7115906250000101,-0.6921886111111064,-0.6887161805555522,-1.0524168749999951,-0.9225395833333394,-0.8715550694444438,-1.0310026388889,-1.029672847222212,-0.8749603038194458,-1.570078055555559,-1.7236615277777751,-1.3656186805555635,-1.6776822222222307,-1.9973094444444541,-1.8419147222222207,-1.6795952083333283,-1.7856202083333166,-1.7051850086805658,0.0
rmse,1.5419891895112117,1.4148493722787243,1.554446617323902,1.3700962066187075,1.7446658690513324,1.827022577381328,1.470126919012862,1.5487320047221518,1.498771848819718,1.0189119578095849,0.9608672389399358,1.3614566493917153,1.512772051619284,1.2444624644382942,1.2639656192672266,1.2791148160164427,1.2179747845316258,1.1912042631309618,1.6864903806055338,1.8891954844475314,1.7739130941448262,1.9378508775308856,2.2040608373781088,2.1255379788106983,2.0596983226472685,2.067641867444415,1.935605750325498,0.0
centered rmse,0.6893712125992991,0.5720852303702599,0.9376900233374822,1.0224034322934317,0.6998195356408525,0.9829480706583319,0.6200169356188278,0.6176003440805747,0.6721882101415749,0.729260145750109,0.6664388775545186,1.1744080342086747,1.0866913091470143,0.8352290360009001,0.9154238622710644,0.7570787747367675,0.6505662175736944,0.8083390768987752,0.615714790579117,0.7733372589729021,1.132189597592283,0.9698702927643099,0.9320081319371165,1.0607836044300933,1.192190050478395,1.0424506528371742,0.9159223257810809,0.0
