,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_average,Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,2.7438857638888883,3.3098148611111107,3.7673337500000006,3.8146723611111124,3.9829417361111115,3.094793402777777,3.9470136111111134,3.642980486111112,3.5379294965277768,3.1847049305555553,3.4375297916666656,3.1476531944444455,3.673738125,3.5838521527777782,3.77106798611111,3.8547963194444446,3.92118888888889,3.57181642361111,3.040179444444444,3.1299104861111124,3.645376666666666,3.568760347222222,3.842513333333334,2.9740647916666667,3.4759304166666687,3.821603958333334,3.4372924305555546,2.6340277777777787
std,1.8397484887846833,2.1676272050200507,2.38980315313192,2.2071764578739588,2.201816090233914,1.8487641436643125,2.1043752519455388,2.2421354896607593,2.0143471127440304,2.1622207228002734,2.29674093858724,2.0288571529146284,2.1587856472788536,2.2718318379684646,2.445335159291842,2.18998947169582,2.209493679556193,2.046884210332043,1.995759529053892,2.195075612324706,2.681064055457066,2.336433746145683,2.309796568028833,1.766347479400944,1.6847817911094578,2.1465571715942082,2.014150408381733,1.461266725711922
min,0.25717,0.53847,0.45628,0.42676,0.80122,0.63636,1.08004,0.20057,0.9875100000000001,0.25587,0.20902,0.18739,0.88416,0.75354,0.1548,1.07138,0.26084,1.0494649999999999,0.23898,0.13046,0.42217,0.23544,0.06635,0.85172,0.64897,0.92959,0.7203149999999999,0.4
25%,1.318815,1.4193324999999999,1.6260425,1.9091775,1.88556,1.4246925,2.0795375,1.7954325,1.8424731249999997,1.2820375,1.4845025,1.537395,1.7898625,1.889545,1.5232125,2.048375,2.242445,1.9856468750000003,1.19759,1.0224099999999998,1.17699,1.3586325000000001,1.8287825,1.5436375,2.03782,1.9109924999999999,1.5396740625,1.4
50%,2.007995,2.8125799999999996,2.98675,3.302095,3.75274,2.9351149999999997,3.8942449999999997,3.31029,2.883636875,2.5345500000000003,2.949795,2.71114,3.0004549999999997,3.1428849999999997,3.150055,3.0576749999999997,3.31103,2.6804537500000003,2.4672400000000003,2.6225199999999997,2.541015,3.19402,2.904455,2.2388,3.3158250000000002,2.9905549999999996,2.4894106249999997,2.1
75%,4.2015674999999995,4.77322,5.586282499999999,6.148425,6.387035,4.3376225,6.136245,5.4357225,5.094269687500001,5.466355,5.39714,4.66146,5.8699925,4.4184675,6.059934999999999,5.750565,6.19716,5.580536875,5.14295,5.3772875,6.2043775000000005,5.60715,6.3540624999999995,4.43825,5.1004525,5.6295825,5.6858971875,3.65
max,6.37425,8.05809,8.56237,7.85993,8.54473,6.82674,7.51231,8.73253,7.359675000000001,6.95363,8.11989,8.39135,7.88079,8.41567,7.94537,8.56136,7.96053,7.46471625,6.46944,7.12892,8.27242,7.75233,7.59761,6.97652,7.17132,7.75392,6.70658375,6.3
std_ratio,1.2590093625025005,1.4833891492081934,1.6354325401939331,1.510454196374473,1.506785894382971,1.265179115581109,1.4401034492318967,1.5343779819309864,1.3784937939804591,1.4796892892684257,1.5717465526139858,1.388423562389802,1.4773385373755799,1.554700314456034,1.6734351889799493,1.498692492726725,1.5120399586733477,1.4007601585089202,1.365773608566614,1.5021731308192732,1.8347533740979867,1.5989098396854167,1.5806810128407673,1.208778280050405,1.1529597995113727,1.468970129699228,1.3783591817574912,1.0
correlation,0.8984064098423336,0.9264658952889874,0.9191715305696581,0.8993786203145391,0.8629838437882833,0.7959348361086108,0.836428611912332,0.8370127180771041,0.9215941389578728,0.9189277016154539,0.8929456105170331,0.6555334683181903,0.8393945097720282,0.7723279883343872,0.8415965639364816,0.8129765581968118,0.841210779118272,0.8935221369032573,0.8911490198401988,0.8932009508856112,0.9105804112533082,0.8812845692313667,0.8681088300573729,0.5842077261161012,0.6343566157944239,0.8893618098062946,0.8846432978582769,1.0
bias,0.10985798611110953,0.6757870833333319,1.1333059722222218,1.1806445833333337,1.3489139583333327,0.4607656249999983,1.3129858333333346,1.0089527083333332,0.903901718749998,0.5506771527777765,0.8035020138888869,0.5136254166666667,1.039710347222221,0.9498243749999995,1.1370402083333313,1.2207685416666658,1.2871611111111112,0.9377886458333311,0.40615166666666536,0.4958827083333337,1.0113488888888873,0.934732569444443,1.2084855555555554,0.34003701388888796,0.8419026388888899,1.1875761805555554,0.8032646527777758,0.0
rmse,0.8375906939495998,1.1922538079422427,1.6465390850196124,1.6122549124462124,1.8026826988999465,1.210387791760294,1.7729923646409198,1.641874221588235,1.2587737232264562,1.1431932695697535,1.4360411077451884,1.6212497687779324,1.6064899898633829,1.7523731053058613,1.842089293114652,1.7939682489717457,1.8005499114036119,1.363581785037003,1.0418896358746714,1.212233669673868,1.7920321519336333,1.5653330483143644,1.7523601227328944,1.5346355603260862,1.5997266391988672,1.6043803034347268,1.2766960060716799,0.0
