,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_average,Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,3.2351448611111104,3.453654444444444,3.289847986111111,2.833323194444443,2.827827152777778,2.8717490972222226,3.0742523611111103,2.9994173611111092,3.0731520572916664,3.35926513888889,3.185437222222223,2.8296584722222216,3.1595837499999986,3.174649930555556,3.189845277777776,3.211014097222221,3.0797692361111113,3.148652890624999,3.2318235416666656,2.987619236111113,2.757842083333334,2.8240477083333326,2.91004763888889,2.996449444444445,3.1958241666666667,3.040411666666667,2.993008185763889,2.745833333333332
std,2.286843218903695,2.572877317734676,2.1694529271846967,1.8762660212442974,1.7314663809870585,1.8142979291496053,1.6886867669989838,1.9707979550411618,1.954567221295917,2.5133866328029915,2.2707711825667545,1.9594054942664514,2.3294102524753617,2.220526752079177,2.1990151121669927,2.198531379508897,2.292189580545774,2.201581396862618,2.396821575362727,2.2348102858939973,1.9793936101717406,1.9211441230812463,1.8507050594480603,1.6607373416743647,1.6027544895886356,1.8949075383302567,1.893541329238053,1.8822959901260075
min,0.18858,0.06245,0.44436,0.19252,0.22846,0.30255,0.33961,0.35748,0.7372925,0.1722,0.08885,0.11954,0.31932,0.13654,0.08352,0.06478,0.06046,0.47456875,0.21354,0.30315,0.25248,0.26813,0.46003,0.21295,0.30413,0.17054,0.7830599999999999,0.2
25%,1.17815,1.30186,1.1169850000000001,1.155975,1.1236674999999998,1.19366,1.5216325,1.23419,1.1483365625,1.0871475,1.2859,0.95146,0.9202325,0.9523999999999999,1.0065775000000001,1.1322375,0.8515125,1.0465846875,1.0792375,0.91617,0.8723175000000001,1.0398925,1.1624124999999998,1.5573275,1.68084,1.50219,1.2554,1.0750000000000002
50%,3.31492,2.59284,3.139245,1.90987,2.6119149999999998,2.546475,3.101515,2.39102,2.49652625,3.03966,2.595885,2.52488,2.8109450000000002,2.9130700000000003,2.741585,2.6933350000000003,2.7287,2.49972375,2.6369550000000004,1.952725,2.469455,1.88822,2.771335,2.776145,2.896245,2.502885,2.3770068749999997,2.0
75%,5.6436325,6.6244075,5.669925,4.80558,4.543305,4.72233,4.771722499999999,4.920915,5.131496874999999,5.498205,5.5432325,4.6658975,5.5293725,5.169995,5.5600075,5.5299475,5.662425000000001,5.42251625,5.9107525,5.544975,4.460725,4.9011925000000005,4.6887975,4.672054999999999,4.8179525,4.9672,4.966875625,4.425000000000001
max,6.94131,7.06618,6.64874,5.80365,5.52611,5.63413,5.60331,6.55512,5.896251250000001,8.30864,7.07295,6.05407,7.07499,6.80976,6.73637,6.9181,6.59165,6.640084999999999,7.24898,6.66894,6.6234,6.22365,6.12099,5.63514,6.08133,6.20792,6.2633475,7.0
std_ratio,1.2149222178126224,1.3668824304101284,1.1525567384540123,0.9967964821083711,0.9198693457723129,0.9638749371336385,0.8971419882193646,1.0470180914050768,1.0383952532168288,1.3352770478115594,1.2063836901733724,1.0409656635008195,1.2375366386024245,1.179690528868697,1.1682621243961653,1.1680051336462338,1.217762558370178,1.1696255043901127,1.2733499874280003,1.1872788857954222,1.0515846713561947,1.0206386950612576,0.9832168102978148,0.8822934067681827,0.8514890846053078,1.006700087696306,1.005974267156194,1.0
correlation,0.930039248461503,0.9311412311711242,0.9266253025707595,0.9444925600136899,0.8987662600939228,0.9275143848832083,0.8698979873738445,0.9314471506122134,0.9496095583169198,0.9268655148672914,0.943805238312513,0.9394594703206741,0.9336958204024273,0.9060249267049237,0.90809199172599,0.900254536528076,0.9230936729661974,0.942071910715248,0.9481635599981538,0.9430909500727411,0.9306691000789993,0.940546401414118,0.9462328366850613,0.903479485872011,0.8901268945700488,0.9346590475804174,0.9557938504370349,1.0
bias,0.48931152777777864,0.7078211111111123,0.5440146527777792,0.08748986111111101,0.08199381944444628,0.1259157638888908,0.32841902777777854,0.25358402777777744,0.3273187239583346,0.6134318055555581,0.43960388888889135,0.08382513888888976,0.4137504166666668,0.4288165972222244,0.44401194444444414,0.4651807638888892,0.3339359027777795,0.4028195572916671,0.48599020833333384,0.24178590277778111,0.012008750000002344,0.07821437500000084,0.16421430555555805,0.25061611111111315,0.4499908333333349,0.29457833333333516,0.24717485243055703,0.0
rmse,1.002685671194839,1.282524016396314,0.9887719220722605,0.632266365270823,0.830265527157912,0.7180263886375355,0.986118791667194,0.7620683675630933,0.6950834553773624,1.2110174844486257,0.908045698657287,0.6778948331599821,0.9759817779726842,1.0410844383238753,1.028741159665,1.068619967175019,0.9711657063510639,0.8627386600642107,0.9841982138526234,0.8133333026139851,0.7253957108087435,0.6615242546432064,0.6344826128451259,0.8457793904170083,0.9713796330377511,0.7436724009649305,0.6134667441172462,0.0
centered rmse,0.8751872851014355,1.0695125652832536,0.825662141218517,0.6261839033826534,0.8262069106221015,0.706899650009914,0.9298232162474039,0.718639922142012,0.6131912123356158,1.0441574438623367,0.7945410069491475,0.6726921665332951,0.8839406222382146,0.9486691381440071,0.9279880208168382,0.9620579458394843,0.911948267188634,0.7629248978980409,0.8558385604509872,0.776563351156174,0.7252963030259837,0.6568841990979912,0.6128636454005773,0.8077959780202607,0.8608638924920293,0.6828413032963807,0.5614677537167629,0.0
