,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_average,Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,1008.2449015319443,1007.8178937437499,1007.8266233173604,1007.7605165104164,1008.1738773687497,1008.0875029993052,1008.114354165278,1008.126450471527,1008.0190150135417,1008.2008127798612,1007.3638158479166,1007.6495176645835,1007.7605780437502,1007.7417001722222,1007.6927901354169,1007.8979750256939,1007.9166249111113,1007.7779768225693,1007.4481487708334,1007.7550003631944,1007.7910594222225,1007.7211864868054,1007.7008202569438,1007.5932456993053,1007.5258361277774,1007.4760938243053,1007.6264238689241,1008.245833333333
std,0.639941290921309,0.6195173067584123,0.6106276970136465,0.6296730232667991,0.6712676019505786,0.6615636909151783,0.6011286673699469,0.6338150188251445,0.6092271312080689,0.5533810730119697,0.4953512656920869,0.49445860285611143,0.548801064711511,0.5383960925715566,0.5217689420225942,0.5239922859022975,0.4590971192091561,0.4809140167810492,0.6838821540135005,0.692984145061345,0.6590097512680657,0.6453963612296542,0.7302502749498948,0.7150923213544871,0.648142096601274,0.6211121375395896,0.6451805115491672,0.47109137471761464
min,1007.2623829,1006.755911,1006.5646227,1006.5226578,1006.9484538,1007.0147078,1006.9187698,1006.9409722,1006.9818671874999,1006.999838,1006.3020428,1006.8386696,1006.6715028,1006.8496213,1006.7925463,1007.1016863,1007.1715946,1007.0057115375,1006.28181,1006.4836256,1006.5891801,1006.5367631,1006.2971102,1006.2470975,1006.2297536,1006.2832572,1006.5504113999999,1007.4
25%,1007.5834211,1007.3412214250001,1007.3218608750001,1007.132952025,1007.543814975,1007.43207595,1007.55381345,1007.51396685,1007.39052085625,1007.754566975,1006.994095325,1007.160143275,1007.28240345,1007.137186,1007.1339690750001,1007.339321325,1007.4700541249999,1007.2690798624999,1006.882023675,1007.10530705,1007.2187310249999,1007.188527475,1007.061666275,1007.039027425,1007.09175155,1006.936898975,1007.0258873906249,1007.9
50%,1008.23814855,1007.78287065,1007.9642613999999,1007.96011345,1008.43060185,1008.19619575,1008.29666535,1008.2959594,1008.1757926,1008.2418349,1007.53228815,1007.8019127499999,1007.8594937,1007.9043267,1007.82751125,1008.06960365,1008.0020728,1007.90667665,1007.3441692,1007.9056372499999,1007.9464562000001,1007.8042051499999,1007.8481549,1007.7613624999999,1007.74411455,1007.7066373499999,1007.76446186875,1008.25
75%,1008.7809622,1008.3691908999999,1008.3326559249999,1008.3334060750001,1008.7243695750001,1008.66929295,1008.6464626000001,1008.666111775,1008.600783240625,1008.582929975,1007.824098975,1008.10859675,1008.250029975,1008.231482275,1008.1277181,1008.3681113,1008.32349565,1008.216352675,1008.058061525,1008.3924396499999,1008.34839705,1008.28155345,1008.314579775,1008.176574925,1007.98872605,1007.888673325,1008.1917186656251,1008.5
max,1009.3384773,1008.9741563,1008.8170628,1008.5953518,1009.1665485,1009.2050652,1009.1448181,1009.1172771,1008.8687097625,1009.1824312,1008.1525198,1008.3683689,1008.686377,1008.5179352,1008.5305316,1008.7040875,1008.658051,1008.4272786875,1008.6635878,1008.7868472,1008.8215449,1008.7223425,1008.7192628,1008.8327988,1008.6873974,1008.6816163,1008.6044632,1009.2
std_ratio,1.3584228565103909,1.3150682436709191,1.2961979984873928,1.3366260922188242,1.424920170429686,1.4043213831111598,1.2760341191351259,1.3454184322628937,1.2932249748220432,1.1746788472696656,1.0514972089841685,1.0496023264117365,1.1649567242458594,1.1428697731820845,1.1075748146213822,1.1122943743480618,0.974539428755943,1.020850821285621,1.4516974640502358,1.4710185374901823,1.3989000576864619,1.370002500293118,1.5501244856958531,1.5179482362272785,1.3758309563400275,1.3184536395129323,1.3695443096064037,1.0
correlation,0.8279965678315407,0.8631415704090273,0.5126440491326618,0.6553259075916444,0.6172395921490311,0.6468653138906192,0.6247479287759388,0.6007796579943088,0.6953253692381797,0.8682398668614845,0.8085457379170393,0.664919737551176,0.45369531126960444,0.6857718550003682,0.70596123009274,0.6538320961838763,0.7897546734753206,0.7541597661668207,0.8725549622485825,0.6615777382029598,0.5710385478807083,0.60631380045078,0.5904885063038021,0.5330532386919156,0.43973542170329355,0.5259298344388812,0.6290641529802554,1.0
bias,-0.0009318013887877896,-0.42793958958316125,-0.4192100159726806,-0.4853168229166158,-0.07195596458336695,-0.15833033402782348,-0.13147916805507975,-0.11938286180600244,-0.22681831979139133,-0.04502055347188616,-0.8820174854164406,-0.5963156687495257,-0.48525528958282393,-0.5041331611108717,-0.5530431979161676,-0.34785830763917147,-0.32920842222176816,-0.4678565107637951,-0.7976845624996258,-0.4908329701386265,-0.4547739111105784,-0.5246468465276166,-0.5450130763892957,-0.6525876340277819,-0.7199972055556145,-0.7697395090277723,-0.6194094644089319,0.0
rmse,0.3636195742611861,0.5338975672872696,0.6896335644132293,0.6820295766531337,0.5360294658025677,0.5305298816825751,0.4967183640491766,0.5283308573592241,0.49539103637557536,0.2783816566256651,0.9316100455252943,0.7157110929890298,0.7238713607416541,0.6465894355073303,0.673034139307486,0.5428681134190669,0.4466143474110373,0.5747856944736958,0.8738986002168192,0.7149232779211304,0.7130764759147294,0.7382613121611321,0.8037154093626578,0.8944335441429084,0.9443933254545184,0.9446859494308235,0.7996616995849759,0.0
centered rmse,0.36361838035508864,0.31924022306487343,0.5475923809494266,0.47919925378042943,0.5311778679213469,0.5063530988201598,0.47900142124121914,0.5146661317252655,0.4404154047352939,0.2747171208911163,0.29990403855717146,0.39579033822314164,0.5371378322491943,0.40487980188916034,0.3835598700483047,0.41677378321312947,0.30180488738809935,0.3338995057011163,0.35692870746143807,0.5198060106791101,0.5492346950764037,0.5193991253961977,0.5906938342424957,0.6116704544132094,0.6111323728581489,0.547661055118664,0.5057575992338491,0.0
