,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_average,LIDAR Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,3.006850625,2.8717383333333335,2.571356249999999,2.8882212500000004,3.0510128472222218,3.160119305555556,3.544900000000001,3.2045232638888903,3.0373402343749984,3.1660777777777778,3.3366712500000006,2.7790354166666678,3.178553541666667,2.869041875,3.284452847222221,3.2678233333333333,3.308502013888891,3.1487697569444446,3.285683333333334,2.9278927777777786,2.6626410416666677,2.8526704166666668,2.7575359722222226,3.022650347222223,2.8891497916666684,3.006425069444445,2.9255810937500004,2.6593055555555556
std,1.937044189697791,1.9685503814485898,1.5796569583641127,1.3744445491557646,1.418984398729258,1.315548734033135,1.3817248928176493,1.2107284467492365,1.3675405307081288,2.15658598166351,2.236490878072747,2.098966340312561,1.9244005296788989,1.8010116124178228,2.029404011113055,1.8583901763731632,1.8866273389597976,1.930601948320094,2.0228491457018407,2.117875145895857,1.9818465219821304,1.6328719692244684,1.6507414465973567,1.636423568701564,1.6117117772958858,1.6156273032341186,1.6920090362569684,1.952227948317347
min,0.52324,0.12638,0.31513,0.45717,0.20689,0.08812,0.70112,0.75876,0.8060062499999999,0.89491,0.20807,0.16121,0.65103,0.15542,0.17252,0.51292,1.1265,1.0442612500000001,1.0164,0.21219,0.24509,0.27741,0.2717,0.14165,0.14968,0.45974,0.9962737500000001,0.26
25%,1.3741025,1.4591875,1.1083325,1.701635,1.92217,2.0907275,2.3614075,2.2044825,1.922295625,1.55323,1.5540100000000001,0.96013,1.6439725,1.3564500000000002,1.6817674999999999,1.8975325,1.7040925,1.6654228125000001,1.6385,1.1890075,0.7822925,1.5631025,1.3375825000000001,1.65809,1.48469,1.6185749999999999,1.5701734375,1.0575
50%,2.207415,2.14148,1.94557,2.814565,2.792535,3.086525,3.907755,3.1044099999999997,2.2638406250000003,2.239755,2.3731,1.7962850000000001,2.076485,2.2232450000000004,2.407115,2.4547600000000003,2.368905,1.9596343750000003,2.201115,1.7463549999999999,2.27532,2.18034,2.09499,2.76903,2.77013,2.85539,1.9401225,1.86
75%,4.4188,4.774725,4.24807,4.13671,4.4548675,4.341275,4.6430525,4.43549,4.4773628125,4.719837500000001,5.2933675,4.7972874999999995,4.8609775,4.65671,5.1960049999999995,4.9458425,5.0314225,4.874771562499999,5.0411225,5.137125,4.406465,4.3212575,4.362575,4.5336175,4.4204975,4.4657824999999995,4.61883875,4.4725
max,6.99024,6.96851,5.31309,5.09313,5.26936,5.48331,5.80555,5.14133,5.282966249999999,7.95315,7.85018,6.39857,6.99208,5.89587,7.14948,6.83831,7.07303,6.7854525,7.38153,6.72527,6.64133,6.11871,6.04536,6.13056,5.78451,6.03097,6.160307499999999,7.17
std_ratio,0.9922223433832903,1.0083609258566917,0.8091560003152508,0.7040389675500844,0.7268538491892306,0.6738704540968309,0.707768216313355,0.6201778064865737,0.7005024858325747,1.1046793913191857,1.1456094970878836,1.0751645790757631,0.9857458148458366,0.9225416601427822,1.0395323009601554,0.951932984042635,0.9663970544965861,0.988922400165466,1.0361746677407027,1.084850336110229,1.0151716779233244,0.8364146054931054,0.8455679819665292,0.8382338599916166,0.8255756089779592,0.8275812794436483,0.8667066966822881,1.0
correlation,0.9109885255683231,0.8668846476850477,0.8413932866724311,0.8332424202562598,0.7691261066586274,0.7617555766052123,0.6520013774627633,0.7953124788583614,0.9051640226146858,0.8847225373675893,0.9342543322171882,0.9433188716126644,0.9117209152005044,0.8876040311934107,0.9214122610373161,0.9294791438995198,0.9041719442715942,0.9474775227040901,0.924047072778043,0.9144678646262846,0.9013909892729925,0.8529510107883232,0.9031155178701957,0.8336233489990337,0.8139269896251116,0.8102965572201292,0.9205801202416507,1.0
bias,0.34754506944444463,0.21243277777777791,-0.08794930555555647,0.22891569444444482,0.3917072916666662,0.5008137500000003,0.8855944444444455,0.5452177083333347,0.37803467881944286,0.5067722222222222,0.677365694444445,0.11972986111111217,0.5192479861111114,0.2097363194444446,0.6251472916666656,0.6085177777777777,0.6491964583333356,0.489464201388889,0.6263777777777784,0.268587222222223,0.003335486111112118,0.19336486111111117,0.09823041666666699,0.36334479166666744,0.22984423611111282,0.3471195138888894,0.2662755381944448,0.0
rmse,0.891190846729111,1.0336993913414685,1.0605578699544038,1.131871733084432,1.3103084490458616,1.3711009423756275,1.7283412348706393,1.347104317710822,0.9955633862936516,1.1266101882398512,1.0553384655598779,0.7073807077423804,0.9662808399753525,0.9258622093970479,1.0096892584977293,0.9438214451050991,1.0637919003710916,0.7974676824267167,0.9986101382477102,0.8982517219206059,0.8740298045797694,1.037730985855278,0.8514621308226221,1.1378881503753275,1.157458674969351,1.1960221067148777,0.8144286497127666,0.0
centered rmse,0.8206299714235435,1.0116356787823073,1.0569048751777603,1.108481495106063,1.2503893910682933,1.2763633424672896,1.4842122166736478,1.2318391507477293,0.9209974146208896,1.0061970140234884,0.809268183533786,0.697174458829657,0.8149111550488357,0.9017934947067877,0.7928828806624127,0.7214603484382722,0.842731965563545,0.6295867692969541,0.7777358727211212,0.8571563801269193,0.8740234400896538,1.01955658474243,0.8457768887043988,1.0783181372550914,1.1344083089383223,1.1445422328722674,0.7696696455182698,9.064933036736789e-17
