,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_average,LIDAR Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,3.200663194444445,3.862291666666666,4.1046662499999975,4.35275451388889,4.053900208333335,3.200663194444445,4.366890555555553,4.007372499999999,3.8936502604166656,3.550636666666668,3.565402291666667,3.499476944444444,3.8519893055555556,3.9491818750000007,3.5420602083333335,3.5545306944444435,3.1724832638888882,3.585720156250001,3.540245069444444,3.238409513888889,3.4813177777777793,3.800642569444444,4.251363124999998,3.1886035416666667,3.1752099305555546,3.9911378472222236,3.5833661718749994,3.178749999999999
std,2.0602723586173872,2.203811252636176,2.2397830503557565,2.2296868989308014,2.0700206986396257,2.0602723586173872,1.8256607337515345,2.087187527388331,1.9299547657831448,2.218303257339317,1.9448980991771627,1.8392548785016314,1.7956426337868927,2.039784542306684,1.749012079767965,1.8593449859492233,1.0532623429432306,1.3950824914431494,1.8865109480915925,1.9372714182557735,2.0277769043395377,1.7573320511149957,1.8004491638479136,1.511742154617603,1.2782365540014151,1.9277691196648938,1.4539444236925638,1.3199320663284995
min,0.20003,0.13872,0.23768,0.34603,0.4939,0.20003,1.62574,0.48717,1.07007375,0.21967,0.29965,0.27879,0.4138,0.30375,0.49139,0.5739,0.94927,1.04459375,0.36812,0.18494,0.35823,1.04198,1.11016,0.59034,0.87645,1.14963,1.7735237499999998,1.07
25%,1.3583025,2.0879525,2.5327475,2.583315,2.6611075,1.3583025,2.8124000000000002,2.4480375,2.2881409374999997,1.5832225000000002,1.64479,1.6286775,2.48068,2.2250025,2.4323724999999996,2.3339274999999997,2.3684174999999996,2.3843434375,1.8573175,1.4447575000000001,1.6168625,2.4226625,2.9679625,2.14251,2.4047575,2.6720275,2.404085625,2.07
50%,2.879095,3.61982,3.666475,4.208775,3.674765,2.879095,3.8305499999999997,3.83659,3.5541793749999995,3.4624499999999996,3.63921,4.01501,3.910455,3.78999,3.474895,3.004265,3.219995,3.79398,3.133055,3.2584150000000003,3.192255,3.27249,3.74389,3.1404199999999998,2.801765,3.32354,3.0045731250000003,2.86
75%,4.4976925,5.252295,5.839754999999999,5.9916925,5.3267750000000005,4.4976925,5.9679525,5.116655,4.9772315625,5.58244,5.1410625,4.95531,5.2549275,5.4918075,4.4632825,3.8325625,3.839785,4.400692812500001,5.276765,4.7570950000000005,4.983945,4.939895,5.5022275,3.9009775,3.9517675,4.7788699999999995,4.882793125,4.04
max,7.55657,8.7283,8.60766,9.044,9.59421,7.55657,8.56588,9.55257,7.755024999999998,7.48061,8.02423,7.86294,7.71886,8.29546,7.99858,9.37919,6.82934,6.7470325,6.91869,7.21687,7.54099,7.80851,7.83955,7.31944,6.62472,8.64255,6.80201875,6.42
std_ratio,1.560892724084055,1.6696399071251142,1.6968926715947579,1.6892436783757065,1.5682782102548354,1.560892724084055,1.3831474969994184,1.5812840528937342,1.4621621938100755,1.680619263618401,1.4734834835758315,1.3934466215505101,1.3604053417549145,1.5453708522897802,1.3250773463160017,1.4086671832446238,0.7979670846795678,1.0569350703962266,1.4292485168112319,1.4677053976303907,1.5362736886754842,1.3313806793126564,1.3640468398165462,1.145318151730823,0.9684108649295384,1.4605063160766627,1.1015297383726959,1.0
correlation,0.7396974458162261,0.7553183600580987,0.7131729410932256,0.7366247149892863,0.7608527752135591,0.7396974458162261,0.5999268238320996,0.6176672628972529,0.7715052512427485,0.7454724632436954,0.664654187347605,0.4293447274194841,0.40870794858332865,0.3685267513014649,0.5282549812072386,0.3378303560804386,0.34464493041302274,0.6394532871860322,0.7133133255176222,0.7874318959020538,0.7045283510576957,0.7883041953853204,0.724260005486787,0.4403949184476297,0.2692772114066426,0.8271337320234611,0.8247874557763025,1.0
