Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-08-11 01:00:00,0.0,1.46252,1.48379,0.05177,0.00715,-0.08019
2015-08-11 02:00:00,0.0,1.46779,1.47691,0.05509,0.00313,-0.06735
2015-08-11 03:00:00,0.0,1.46206,1.47157,0.04272,0.00206,-0.05429
2015-08-11 04:00:00,0.0,1.46211,1.46885,0.0187,0.00164,-0.02708
2015-08-11 05:00:00,0.0,1.45075,1.46147,0.03976,0.00375,-0.05424
2015-08-11 06:00:00,0.01366,1.44106,1.45515,0.05287,0.00565,-0.05894
2015-08-11 07:00:00,0.39964,1.42783,1.47644,0.17228,0.01358,0.16516
2015-08-11 08:00:00,1.04849,1.439,1.53122,0.39491,0.02446,0.5369
2015-08-11 09:00:00,1.68369,1.46119,1.59946,0.6568,0.03766,0.85097
2015-08-11 10:00:00,1.98715,1.53951,1.66476,0.78272,0.04476,1.03443
2015-08-11 11:00:00,2.56701,1.52293,1.73279,1.11345,0.061,1.18271
2015-08-11 12:00:00,2.86846,1.55816,1.77111,1.50421,0.06861,1.08269
2015-08-11 13:00:00,2.98158,1.54575,1.78251,1.76907,0.0709,0.90485
2015-08-11 14:00:00,1.67706,1.62917,1.72137,1.24544,0.05124,0.28819
2015-08-11 15:00:00,1.05376,1.66388,1.67191,0.87962,0.04101,0.12511
2015-08-11 16:00:00,1.59449,1.58005,1.68411,1.04332,0.04732,0.39978
2015-08-11 17:00:00,1.54502,1.51734,1.68296,0.96912,0.04659,0.36368
2015-08-11 18:00:00,0.89667,1.52308,1.63697,0.69238,0.03172,0.05867
2015-08-11 19:00:00,0.27183,1.52265,1.58341,0.37696,0.01866,-0.18455
2015-08-11 20:00:00,0.00066,1.51252,1.53999,0.23352,0.01088,-0.27121
2015-08-11 21:00:00,0.0,1.52825,1.52262,0.17111,0.0084,-0.17389
2015-08-11 22:00:00,0.0,1.50438,1.50723,0.12828,0.00734,-0.13847
2015-08-11 23:00:00,0.0,1.47877,1.49584,0.08103,0.00641,-0.10451
2015-08-12 00:00:00,0.0,1.54771,1.49366,0.06757,0.00768,-0.02121
