Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-08-11 01:00:00,0.0,1.41399,1.47493,0.00961,0.00091,-0.07146
2015-08-11 02:00:00,0.0,1.41543,1.46741,0.00727,0.00074,-0.05999
2015-08-11 03:00:00,0.0,1.40179,1.46003,0.00102,0.00068,-0.05993
2015-08-11 04:00:00,0.0,1.39256,1.45263,-0.00173,0.00053,-0.05887
2015-08-11 05:00:00,0.0,1.39753,1.44795,-0.00385,0.00113,-0.04771
2015-08-11 06:00:00,0.01409,1.37664,1.44231,-0.00422,0.00147,-0.04884
2015-08-11 07:00:00,0.40642,1.36668,1.46684,0.11578,0.00497,0.18551
2015-08-11 08:00:00,1.05882,1.37207,1.52198,0.37888,0.00994,0.5201
2015-08-11 09:00:00,1.70448,1.39543,1.60016,0.6204,0.0144,0.86495
2015-08-11 10:00:00,2.26317,1.42409,1.68572,0.86491,0.01892,1.11771
2015-08-11 11:00:00,2.6939,1.4982,1.77103,1.1137,0.02299,1.28438
2015-08-11 12:00:00,2.95016,1.52545,1.81206,1.50535,0.02642,1.13178
2015-08-11 13:00:00,3.00449,1.52183,1.82531,1.73926,0.02595,0.93581
2015-08-11 14:00:00,2.87749,1.55573,1.8242,1.80461,0.0244,0.78001
2015-08-11 15:00:00,2.13578,1.61022,1.7807,1.49233,0.02198,0.45099
2015-08-11 16:00:00,1.96357,1.5911,1.7644,1.33646,0.0244,0.42941
2015-08-11 17:00:00,1.39429,1.57403,1.70881,1.08631,0.01692,0.15628
2015-08-11 18:00:00,0.89619,1.56482,1.66097,0.78311,0.01372,0.00322
2015-08-11 19:00:00,0.27387,1.58288,1.60475,0.40375,0.0071,-0.15886
2015-08-11 20:00:00,0.00067,1.53356,1.5623,0.16413,0.00294,-0.19513
2015-08-11 21:00:00,0.0,1.49256,1.539,0.09699,0.00307,-0.14651
2015-08-11 22:00:00,0.0,1.47583,1.52174,0.06402,0.00238,-0.11232
2015-08-11 23:00:00,0.0,1.46376,1.50308,0.07849,0.00255,-0.12036
2015-08-12 00:00:00,0.0,1.4811,1.49217,0.07645,0.00219,-0.0897
