Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-08-11 01:00:00,0.0,1.44169,1.47887,0.02685,0.00101,-0.06505
2015-08-11 02:00:00,0.0,1.45141,1.47435,0.01498,0.00085,-0.03877
2015-08-11 03:00:00,0.0,1.43762,1.4678,0.01435,0.00066,-0.04518
2015-08-11 04:00:00,0.0,1.44222,1.46347,0.00804,0.00069,-0.02998
2015-08-11 05:00:00,0.0,1.43359,1.45864,0.00507,0.00089,-0.03101
2015-08-11 06:00:00,0.01376,1.42461,1.45013,0.04686,0.0017,-0.06032
2015-08-11 07:00:00,0.40088,1.41988,1.47168,0.17711,0.00429,0.16768
2015-08-11 08:00:00,1.05166,1.43453,1.53355,0.38236,0.00842,0.56187
2015-08-11 09:00:00,1.69627,1.45194,1.6082,0.66989,0.01312,0.857
2015-08-11 10:00:00,2.24759,1.47928,1.68569,0.9574,0.01725,1.06653
2015-08-11 11:00:00,2.6699,1.52039,1.76724,1.17167,0.02073,1.23065
2015-08-11 12:00:00,2.88108,1.57395,1.82377,1.40084,0.02458,1.20585
2015-08-11 13:00:00,2.30025,1.64095,1.81013,1.29237,0.02197,0.81673
2015-08-11 14:00:00,1.8472,1.65647,1.75806,1.25806,0.04088,0.44667
2015-08-11 15:00:00,2.38321,1.56228,1.76633,1.56857,0.0575,0.55309
2015-08-11 16:00:00,1.93502,1.59503,1.74743,1.32401,0.04392,0.41469
2015-08-11 17:00:00,1.52066,1.5847,1.72518,1.01668,0.03511,0.3284
2015-08-11 18:00:00,0.74268,1.59822,1.65289,0.73191,0.02534,-0.06923
2015-08-11 19:00:00,0.20922,1.60266,1.60045,0.37548,0.01395,-0.17799
2015-08-11 20:00:00,0.00063,1.54132,1.56154,0.16813,0.00806,-0.19578
2015-08-11 21:00:00,0.0,1.50205,1.53702,0.11581,0.00897,-0.15975
2015-08-11 22:00:00,0.0,1.50927,1.52506,0.0572,0.00673,-0.07971
2015-08-11 23:00:00,0.0,1.50577,1.50939,0.08392,0.00669,-0.09424
2015-08-12 00:00:00,0.0,1.50742,1.49629,0.09601,0.00545,-0.09034
