Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-08-23 01:00:00,0.0,1.4489,1.4625,-0.00215,0.00061,-0.01207
2015-08-23 02:00:00,0.0,1.44527,1.46068,-0.00521,-0.00017,-0.01003
2015-08-23 03:00:00,0.0,1.48118,1.45984,0.00521,0.00517,0.01097
2015-08-23 04:00:00,0.0,1.4736,1.457,0.01307,0.00913,-0.0056
2015-08-23 05:00:00,0.0,1.41886,1.44586,-0.00059,0.00254,-0.02895
2015-08-23 06:00:00,0.00143,1.45899,1.44384,0.00146,0.00497,0.01015
2015-08-23 07:00:00,0.29519,1.46592,1.47147,0.05836,0.05059,0.18068
2015-08-23 08:00:00,0.88052,1.46236,1.5205,0.24348,0.13501,0.44389
2015-08-23 09:00:00,1.55556,1.44904,1.58449,0.49242,0.23106,0.69663
2015-08-23 10:00:00,2.09285,1.47225,1.63615,0.80755,0.32254,0.79885
2015-08-23 11:00:00,2.51195,1.46467,1.66679,1.16659,0.37863,0.76462
2015-08-23 12:00:00,2.76263,1.46682,1.69361,1.38903,0.40497,0.74184
2015-08-23 13:00:00,2.8333,1.4648,1.70575,1.50998,0.41801,0.66436
2015-08-23 14:00:00,2.71694,1.46165,1.70292,1.5148,0.41385,0.54702
2015-08-23 15:00:00,2.41982,1.45587,1.68972,1.38892,0.37742,0.41963
2015-08-23 16:00:00,1.96545,1.45131,1.66293,1.17157,0.31738,0.26487
2015-08-23 17:00:00,1.39194,1.44497,1.62407,0.88854,0.23395,0.09034
2015-08-23 18:00:00,0.752,1.45058,1.57821,0.55516,0.14601,-0.0768
2015-08-23 19:00:00,0.16158,1.48574,1.52858,0.27203,0.06779,-0.22108
2015-08-23 20:00:00,0.0,1.59628,1.51138,0.18896,0.03959,-0.14364
2015-08-23 21:00:00,0.0,1.49111,1.49385,0.09635,0.02485,-0.12394
2015-08-23 22:00:00,0.0,1.45017,1.48296,0.03637,0.01374,-0.08289
2015-08-23 23:00:00,0.0,1.44241,1.4757,0.01407,0.00326,-0.05062
2015-08-24 00:00:00,0.0,1.43551,1.46747,0.00116,-0.00302,-0.0301
