Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-08-15 01:00:00,0.0,1.35175,1.42366,-0.02438,0.01619,-0.06372
2015-08-15 02:00:00,0.0,1.35145,1.41545,-0.01842,0.00955,-0.05514
2015-08-15 03:00:00,0.0,1.34938,1.40925,-0.01548,0.00859,-0.05298
2015-08-15 04:00:00,0.0,1.35331,1.40535,-0.01708,0.0089,-0.04385
2015-08-15 05:00:00,0.0,1.37816,1.40458,-0.01819,0.00526,-0.01349
2015-08-15 06:00:00,0.0023,1.43634,1.40831,-0.0084,0.01467,0.02406
2015-08-15 07:00:00,0.35046,1.41355,1.43246,0.06364,0.07707,0.19084
2015-08-15 08:00:00,0.98792,1.40314,1.49412,0.2276,0.15191,0.51743
2015-08-15 09:00:00,1.6014,1.42205,1.56413,0.46889,0.22142,0.76902
2015-08-15 10:00:00,2.16784,1.40248,1.61384,0.82126,0.29581,0.8394
2015-08-15 11:00:00,2.60959,1.3684,1.65435,1.10214,0.36596,0.85554
2015-08-15 12:00:00,2.8713,1.36613,1.68487,1.33205,0.39631,0.8242
2015-08-15 13:00:00,2.95049,1.35561,1.69781,1.47837,0.4047,0.72522
2015-08-15 14:00:00,2.84196,1.34052,1.69708,1.48009,0.39696,0.60834
2015-08-15 15:00:00,2.54014,1.34541,1.68242,1.38119,0.35653,0.4654
2015-08-15 16:00:00,2.08575,1.34223,1.65422,1.16386,0.30899,0.3009
2015-08-15 17:00:00,1.50275,1.36325,1.61505,0.8694,0.24932,0.13223
2015-08-15 18:00:00,0.85825,1.37269,1.56636,0.54698,0.16902,-0.05142
2015-08-15 19:00:00,0.23872,1.37376,1.51438,0.23025,0.07771,-0.20986
2015-08-15 20:00:00,0.0,1.37233,1.4819,0.07478,0.0355,-0.21986
2015-08-15 21:00:00,0.0,1.37793,1.4686,0.01625,0.02442,-0.13134
2015-08-15 22:00:00,0.0,1.35261,1.45286,0.0001,0.0152,-0.11555
2015-08-15 23:00:00,0.0,1.34353,1.43902,-0.00836,0.00256,-0.0897
2015-08-16 00:00:00,0.0,1.34228,1.42502,-0.00277,-0.00171,-0.07825
