Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-08-15 01:00:00,0.0,1.34424,1.42595,-0.01077,0.00982,-0.08075
2015-08-15 02:00:00,0.0,1.34966,1.42132,-0.01362,0.00726,-0.06529
2015-08-15 03:00:00,0.0,1.34998,1.41746,-0.01459,0.01797,-0.07085
2015-08-15 04:00:00,0.0,1.34278,1.41108,-0.00583,0.01887,-0.08134
2015-08-15 05:00:00,0.0,1.35116,1.40842,-0.0129,0.02094,-0.0653
2015-08-15 06:00:00,0.00855,1.35184,1.40606,-0.01666,0.02426,-0.05328
2015-08-15 07:00:00,0.34688,1.37012,1.42937,0.08788,0.07146,0.1283
2015-08-15 08:00:00,0.93512,1.39477,1.48948,0.23038,0.14849,0.46153
2015-08-15 09:00:00,1.55442,1.42918,1.55714,0.46322,0.24482,0.71842
2015-08-15 10:00:00,1.98453,1.43625,1.60069,0.74844,0.31564,0.75601
2015-08-15 11:00:00,2.58644,1.40581,1.64649,1.13643,0.38423,0.8251
2015-08-15 12:00:00,2.84595,1.40205,1.67334,1.39274,0.4151,0.76682
2015-08-15 13:00:00,2.92892,1.38514,1.68654,1.52676,0.41963,0.68113
2015-08-15 14:00:00,2.8154,1.3834,1.68812,1.52263,0.41289,0.57516
2015-08-15 15:00:00,2.51623,1.38997,1.67565,1.40889,0.37909,0.44258
2015-08-15 16:00:00,2.05806,1.40717,1.65005,1.22132,0.31345,0.28041
2015-08-15 17:00:00,1.48759,1.40819,1.61071,0.96068,0.2343,0.09009
2015-08-15 18:00:00,0.85206,1.40048,1.56273,0.62019,0.15734,-0.08772
2015-08-15 19:00:00,0.23656,1.40368,1.51307,0.28629,0.0763,-0.23541
2015-08-15 20:00:00,0.0,1.40366,1.48447,0.11253,0.03306,-0.22639
2015-08-15 21:00:00,0.0,1.39284,1.47134,0.05163,0.02376,-0.15388
2015-08-15 22:00:00,0.0,1.39692,1.46214,0.01831,0.01748,-0.10101
2015-08-15 23:00:00,0.0,1.38328,1.45237,0.00191,0.01036,-0.08136
2015-08-16 00:00:00,0.0,1.37486,1.43906,-0.00189,-0.00142,-0.06088
