Time,Net Shortwave Radiation Flux [MJ/m^2],Downward Longwave Radiation Flux [MJ/m^2],Upward Longwave Radiation Flux [MJ/m^2],Sensible Heat Flux [MJ/m^2],Latent Heat Flux [MJ/m^2],Ground Flux [MJ/m^2]
2015-08-15 01:00:00,0.0,1.3981,1.44348,-0.00505,0.00729,-0.04761
2015-08-15 02:00:00,0.0,1.38692,1.43694,-0.0113,0.00517,-0.04389
2015-08-15 03:00:00,0.0,1.37107,1.43038,0.00656,0.01002,-0.07588
2015-08-15 04:00:00,0.0,1.3699,1.42546,-0.00026,0.00907,-0.06438
2015-08-15 05:00:00,0.0,1.37295,1.42032,0.00851,0.0079,-0.06379
2015-08-15 06:00:00,0.00548,1.3987,1.41854,0.01814,0.009,-0.0415
2015-08-15 07:00:00,0.3549,1.39931,1.4453,0.12721,0.03671,0.14499
2015-08-15 08:00:00,0.99141,1.402,1.51476,0.30633,0.08729,0.48503
2015-08-15 09:00:00,1.61525,1.42399,1.59087,0.58556,0.13536,0.72745
2015-08-15 10:00:00,2.08662,1.45468,1.64238,0.95296,0.17102,0.77493
2015-08-15 11:00:00,2.46766,1.47549,1.68558,1.28099,0.19937,0.77721
2015-08-15 12:00:00,2.83052,1.44256,1.7191,1.56856,0.22232,0.76311
2015-08-15 13:00:00,2.91073,1.43232,1.73876,1.67243,0.2297,0.70216
2015-08-15 14:00:00,2.79623,1.4336,1.73947,1.68186,0.22476,0.58374
2015-08-15 15:00:00,2.49255,1.45048,1.72235,1.58735,0.2002,0.43312
2015-08-15 16:00:00,2.04216,1.45624,1.69644,1.32927,0.17106,0.30164
2015-08-15 17:00:00,1.47572,1.4529,1.65472,1.00284,0.13809,0.13296
2015-08-15 18:00:00,0.84173,1.44985,1.60091,0.65337,0.09071,-0.05341
2015-08-15 19:00:00,0.23292,1.44172,1.54192,0.31731,0.03742,-0.22201
2015-08-15 20:00:00,0.0,1.50936,1.5145,0.15069,0.0133,-0.16914
2015-08-15 21:00:00,0.0,1.45709,1.49978,0.06051,0.00971,-0.11291
2015-08-15 22:00:00,0.0,1.42841,1.48706,0.02012,0.0077,-0.08647
2015-08-15 23:00:00,0.0,1.43322,1.47748,0.01573,0.00692,-0.06691
2015-08-16 00:00:00,0.0,1.39905,1.46323,0.00029,0.00239,-0.06685
